run	fixture	arm	rep	risk	flag_strict	flag_relaxed	grounding	ontarget	expected
ARM-A1_POS_r1.txt	A1_POS	ARM	1	HIGH	NA	NA	NA	NA	INVALID-NO-TOKEN
ARM-A1_POS_r2.txt	A1_POS	ARM	2	HIGH	1	1	GROUNDED	OFFTARGET	DECLINE
ARM-A1_POS_r3.txt	A1_POS	ARM	3	HIGH	NA	NA	NA	NA	INVALID-NO-TOKEN
CTRL-A1_POS_r1.txt	A1_POS	CTRL	1	LOW	NA	NA	NA	NA	INVALID-NO-TOKEN
CTRL-A1_POS_r2.txt	A1_POS	CTRL	2	LOW	NA	NA	NA	NA	INVALID-NO-TOKEN
CTRL-A1_POS_r3.txt	A1_POS	CTRL	3	LOW	NA	NA	NA	NA	INVALID-NO-TOKEN
ARM-A2_NEG_r1.txt	A2_NEG	ARM	1	LOW	NA	NA	NA	NA	INVALID-NO-TOKEN
ARM-A2_NEG_r2.txt	A2_NEG	ARM	2	LOW	NA	NA	NA	NA	INVALID-NO-TOKEN
ARM-A2_NEG_r3.txt	A2_NEG	ARM	3	LOW	NA	NA	NA	NA	INVALID-NO-TOKEN
CTRL-A2_NEG_r1.txt	A2_NEG	CTRL	1	MEDIUM	NA	NA	NA	NA	INVALID-NO-TOKEN
CTRL-A2_NEG_r2.txt	A2_NEG	CTRL	2	MEDIUM	NA	NA	NA	NA	INVALID-NO-TOKEN
CTRL-A2_NEG_r3.txt	A2_NEG	CTRL	3	MEDIUM	NA	NA	NA	NA	INVALID-NO-TOKEN
ARM-B1_POS_r1.txt	B1_POS	ARM	1	HIGH	NA	NA	NA	NA	INVALID-NO-TOKEN
ARM-B1_POS_r2.txt	B1_POS	ARM	2	HIGH	NA	NA	NA	NA	INVALID-NO-TOKEN
ARM-B1_POS_r3.txt	B1_POS	ARM	3	HIGH	NA	NA	NA	NA	INVALID-NO-TOKEN
CTRL-B1_POS_r1.txt	B1_POS	CTRL	1	LOW	NA	NA	NA	NA	INVALID-NO-TOKEN
CTRL-B1_POS_r2.txt	B1_POS	CTRL	2	LOW	NA	NA	NA	NA	INVALID-NO-TOKEN
CTRL-B1_POS_r3.txt	B1_POS	CTRL	3	LOW	NA	NA	NA	NA	INVALID-NO-TOKEN
ARM-B2_NEG_r1.txt	B2_NEG	ARM	1	LOW	NA	NA	NA	NA	INVALID-NO-TOKEN
ARM-B2_NEG_r2.txt	B2_NEG	ARM	2	LOW	NA	NA	NA	NA	INVALID-NO-TOKEN
ARM-B2_NEG_r3.txt	B2_NEG	ARM	3	LOW	NA	NA	NA	NA	INVALID-NO-TOKEN
CTRL-B2_NEG_r1.txt	B2_NEG	CTRL	1	MEDIUM	NA	NA	NA	NA	INVALID-NO-TOKEN
CTRL-B2_NEG_r2.txt	B2_NEG	CTRL	2	LOW	NA	NA	NA	NA	INVALID-NO-TOKEN
CTRL-B2_NEG_r3.txt	B2_NEG	CTRL	3	MEDIUM	NA	NA	NA	NA	INVALID-NO-TOKEN
