A1	CORE	We do not ship a browser interface.	PR adds a browser view; direct prohibition regardless of opt-in.
A1	CORE	We do not run as a background daemon and we do not listen on a socket.	PR adds an HTTP listener on 127.0.0.1 (listens on a socket).
A1	CORE	An optional surface is still a surface I maintain forever, and it changes what every future bug report is about.	Directly rebuts the PR's main defence (default off / opt-in surface).
A1	BORDERLINE	The terminal is the product, not a fallback for it.	Implies a non-terminal view is off-mission, but does not name a browser explicitly.
A1	BORDERLINE	Running as a background daemon is on our not-doing list, and putting it behind a flag does not move it off that list.	Flag-does-not-rescue principle applies, but the named item is daemon, not browser; needs the not-doing list to bind.
A1	BORDERLINE	That is the cost I am declining, not your code.	Declines 'optional surface' cost, but only via the antecedent sentence.
A1	BORDERLINE	tidewatch is a single-binary terminal UI for tailing, filtering and searching log files on the machine you are already sitting at.	Identity as terminal UI on local machine; tablet/second-screen use weakly off-scope.
A2	BORDERLINE	Open an issue before a large change so we can talk about shape.	940-line PR with no mention of a prior issue; predicts a shape discussion, not clearly decline/major change.
A2	BORDERLINE	It starts in under 20ms, holds no state on disk, and is meant to be reached for the way you reach for less(1).	8-file startup is 23ms (>20ms); single-file 19.1ms stays under, default cap 4 sources — weak.
A2	BORDERLINE	Keep the startup path allocation-free where you can.	Per-source rings may add startup allocation; hedged ('where you can'), unlikely to force a decline.
B1	CORE	Platform differences live behind the platform module and nowhere else.	PR puts Windows-specific logic in cmd/, outside the platform module.
B1	CORE	We do not accept conditional compilation branches inside command logic.	PR adds cfg(target_os = "windows") branches in cmd/verify.rs and cmd/manifest.rs.
B1	CORE	If you need one, the right change is to widen the platform module's interface so that every platform answers the same question, and then call it from the command like everybody else.	Prescribes a different design for exactly this case — requires a major rework.
B1	CORE	A dependency that exists for one platform, one flag, or one benchmark is a dependency the whole project carries.	windows-sys exists for one platform; PR's 'adds nothing to Linux/macOS' defence is rebutted.
B1	CORE	The reason I am not taking it is that I would rather be thirty percent slower everywhere than fast on one platform and unreviewable on the others.	PR is a one-platform fast path; maintainer's stated reason for declining exactly this shape.
B1	CORE	If a branch exists here that I cannot exercise, it will rot, and the way I will find out is a bug report from somebody who trusted a manifest.	A Windows-only branch the (Linux-only) maintainer cannot exercise; CI job does not change that premise.
B1	CORE	If you can get the same win through the platform module so that all four targets go through it, I will merge that the day it lands.	Conditions acceptance on routing through the platform module — PR does not, so major change required.
B1	BORDERLINE	We add a runtime dependency only when the default command set uses it.	windows-sys is used by default commands, but only on Windows; arguable either way.
B1	BORDERLINE	I only run Linux.	Implies Windows-only code is unreviewable, but needs the adjacent sentences to bind.
B1	BORDERLINE	**One code path.**	Heading-sentence; a second Windows path violates it, but it is only a label for the rule that follows.
B1	BORDERLINE	It runs the same way on every platform we support, and "the same way" is the feature — a manifest written on one machine must verify identically on another.	A per-platform code path conflicts with 'the same way', though PR shows byte-identical output.
B2	NONE
